id,image_path,true,pred,correct,invalid,generated_text,returncode,wall_s,raw_log_path,prompt_eval_ms,prompt_eval_tokens,decode_eval_ms,decode_eval_tokens,total_ms,total_tokens
two_up_00002,data/hagrid_day1/images/two_up/two_up_00002.jpg,two_up,peace,False,False,Peace,0,16.039908513,results/raw_cli/q4_cli_balanced_19_ngl15_c1024/0000_two_up_two_up_00002.txt,,,,,,
palm_00002,data/hagrid_day1/images/palm/palm_00002.jpg,palm,no_gesture,False,False,No gesture,0,42.87172258199985,results/raw_cli/q4_cli_balanced_19_ngl15_c1024/0001_palm_palm_00002.txt,,,,,,
fist_00002,data/hagrid_day1/images/fist/fist_00002.jpg,fist,fist,True,False,Fist,0,17.786753856999894,results/raw_cli/q4_cli_balanced_19_ngl15_c1024/0002_fist_fist_00002.txt,,,,,,
stop_00003,data/hagrid_day1/images/stop/stop_00003.jpg,stop,peace,False,False,Peace,0,17.61941813500016,results/raw_cli/q4_cli_balanced_19_ngl15_c1024/0003_stop_stop_00003.txt,,,,,,
four_00001,data/hagrid_day1/images/four/four_00001.jpg,four,peace,False,False,Peace,0,17.293344457999865,results/raw_cli/q4_cli_balanced_19_ngl15_c1024/0004_four_four_00001.txt,,,,,,
like_00001,data/hagrid_day1/images/like/like_00001.jpg,like,like,True,False,Like,0,19.815008987999818,results/raw_cli/q4_cli_balanced_19_ngl15_c1024/0005_like_like_00001.txt,,,,,,
ok_00004,data/hagrid_day1/images/ok/ok_00004.jpg,ok,fist,False,False,fist,0,19.78265833100022,results/raw_cli/q4_cli_balanced_19_ngl15_c1024/0006_ok_ok_00004.txt,,,,,,
mute_00001,data/hagrid_day1/images/mute/mute_00001.jpg,mute,fist,False,False,Fist,0,19.684922758000084,results/raw_cli/q4_cli_balanced_19_ngl15_c1024/0007_mute_mute_00001.txt,,,,,,
stop_inverted_00004,data/hagrid_day1/images/stop_inverted/stop_inverted_00004.jpg,stop_inverted,fist,False,False,fist,0,17.848016201999826,results/raw_cli/q4_cli_balanced_19_ngl15_c1024/0008_stop_inverted_stop_inverted_00004.txt,,,,,,
call_00002,data/hagrid_day1/images/call/call_00002.jpg,call,like,False,False,Like,0,24.85236511900007,results/raw_cli/q4_cli_balanced_19_ngl15_c1024/0009_call_call_00002.txt,,,,,,
peace_inverted_00001,data/hagrid_day1/images/peace_inverted/peace_inverted_00001.jpg,peace_inverted,peace,False,False,Peace,0,18.651214729999992,results/raw_cli/q4_cli_balanced_19_ngl15_c1024/0010_peace_inverted_peace_inverted_00001.txt,,,,,,
three2_00003,data/hagrid_day1/images/three2/three2_00003.jpg,three2,peace,False,False,Peace,0,24.287024599000006,results/raw_cli/q4_cli_balanced_19_ngl15_c1024/0011_three2_three2_00003.txt,,,,,,
rock_00000,data/hagrid_day1/images/rock/rock_00000.jpg,rock,fist,False,False,Fist,0,17.737285936000035,results/raw_cli/q4_cli_balanced_19_ngl15_c1024/0012_rock_rock_00000.txt,,,,,,
peace_00002,data/hagrid_day1/images/peace/peace_00002.jpg,peace,peace,True,False,Peace,0,17.517999820000114,results/raw_cli/q4_cli_balanced_19_ngl15_c1024/0013_peace_peace_00002.txt,,,,,,
two_up_inverted_00003,data/hagrid_day1/images/two_up_inverted/two_up_inverted_00003.jpg,two_up_inverted,no_gesture,False,False,No gesture,0,17.587630434000175,results/raw_cli/q4_cli_balanced_19_ngl15_c1024/0014_two_up_inverted_two_up_inverted_00003.txt,,,,,,
dislike_00001,data/hagrid_day1/images/dislike/dislike_00001.jpg,dislike,dislike,True,False,Dislike,0,17.902350895999916,results/raw_cli/q4_cli_balanced_19_ngl15_c1024/0015_dislike_dislike_00001.txt,,,,,,
three_00001,data/hagrid_day1/images/three/three_00001.jpg,three,fist,False,False,fist,0,25.324471173999882,results/raw_cli/q4_cli_balanced_19_ngl15_c1024/0016_three_three_00001.txt,,,,,,
one_00000,data/hagrid_day1/images/one/one_00000.jpg,one,one,True,False,One,0,17.521216864000053,results/raw_cli/q4_cli_balanced_19_ngl15_c1024/0017_one_one_00000.txt,,,,,,
no_gesture_00000,data/hagrid_day1/images/no_gesture/no_gesture_00000.jpg,no_gesture,no_gesture,True,False,No gesture,0,18.171312728999965,results/raw_cli/q4_cli_balanced_19_ngl15_c1024/0018_no_gesture_no_gesture_00000.txt,,,,,,
