id,image_path,true,pred,correct,invalid,generated_text,returncode,wall_s,raw_log_path,prompt_eval_ms,prompt_eval_tokens,decode_eval_ms,decode_eval_tokens,total_ms,total_tokens
two_up_00002,data/hagrid_day1/images/two_up/two_up_00002.jpg,two_up,peace,False,False,Peace,0,20.691379271000187,results/raw_cli/q4_cli_balanced_baseline_19_ngl10_c1024/0000_two_up_two_up_00002.txt,,,,,,
palm_00002,data/hagrid_day1/images/palm/palm_00002.jpg,palm,fist,False,False,fist,0,17.81810598299853,results/raw_cli/q4_cli_balanced_baseline_19_ngl10_c1024/0001_palm_palm_00002.txt,,,,,,
fist_00002,data/hagrid_day1/images/fist/fist_00002.jpg,fist,fist,True,False,Fist,0,20.360490817000027,results/raw_cli/q4_cli_balanced_baseline_19_ngl10_c1024/0002_fist_fist_00002.txt,,,,,,
stop_00003,data/hagrid_day1/images/stop/stop_00003.jpg,stop,peace,False,False,Peace,0,47.9232228280016,results/raw_cli/q4_cli_balanced_baseline_19_ngl10_c1024/0003_stop_stop_00003.txt,,,,,,
four_00001,data/hagrid_day1/images/four/four_00001.jpg,four,peace,False,False,Peace,0,17.986622875998364,results/raw_cli/q4_cli_balanced_baseline_19_ngl10_c1024/0004_four_four_00001.txt,,,,,,
like_00001,data/hagrid_day1/images/like/like_00001.jpg,like,INVALID,False,True,thumb up,0,18.15353577100177,results/raw_cli/q4_cli_balanced_baseline_19_ngl10_c1024/0005_like_like_00001.txt,,,,,,
ok_00004,data/hagrid_day1/images/ok/ok_00004.jpg,ok,fist,False,False,fist,0,18.067346478999752,results/raw_cli/q4_cli_balanced_baseline_19_ngl10_c1024/0006_ok_ok_00004.txt,,,,,,
mute_00001,data/hagrid_day1/images/mute/mute_00001.jpg,mute,fist,False,False,fist,0,18.385115717999724,results/raw_cli/q4_cli_balanced_baseline_19_ngl10_c1024/0007_mute_mute_00001.txt,,,,,,
stop_inverted_00004,data/hagrid_day1/images/stop_inverted/stop_inverted_00004.jpg,stop_inverted,fist,False,False,fist,0,17.92056061599942,results/raw_cli/q4_cli_balanced_baseline_19_ngl10_c1024/0008_stop_inverted_stop_inverted_00004.txt,,,,,,
call_00002,data/hagrid_day1/images/call/call_00002.jpg,call,INVALID,False,True,thumb up,0,24.401716258000306,results/raw_cli/q4_cli_balanced_baseline_19_ngl10_c1024/0009_call_call_00002.txt,,,,,,
peace_inverted_00001,data/hagrid_day1/images/peace_inverted/peace_inverted_00001.jpg,peace_inverted,fist,False,False,fist,0,22.58582625300005,results/raw_cli/q4_cli_balanced_baseline_19_ngl10_c1024/0010_peace_inverted_peace_inverted_00001.txt,,,,,,
three2_00003,data/hagrid_day1/images/three2/three2_00003.jpg,three2,peace,False,False,Peace,0,17.612883671999953,results/raw_cli/q4_cli_balanced_baseline_19_ngl10_c1024/0011_three2_three2_00003.txt,,,,,,
rock_00000,data/hagrid_day1/images/rock/rock_00000.jpg,rock,fist,False,False,fist,0,17.939344541000537,results/raw_cli/q4_cli_balanced_baseline_19_ngl10_c1024/0012_rock_rock_00000.txt,,,,,,
peace_00002,data/hagrid_day1/images/peace/peace_00002.jpg,peace,peace,True,False,Peace,0,17.452691749000223,results/raw_cli/q4_cli_balanced_baseline_19_ngl10_c1024/0013_peace_peace_00002.txt,,,,,,
two_up_inverted_00003,data/hagrid_day1/images/two_up_inverted/two_up_inverted_00003.jpg,two_up_inverted,fist,False,False,fist,0,17.784605722001288,results/raw_cli/q4_cli_balanced_baseline_19_ngl10_c1024/0014_two_up_inverted_two_up_inverted_00003.txt,,,,,,
dislike_00001,data/hagrid_day1/images/dislike/dislike_00001.jpg,dislike,INVALID,False,True,thumb down,0,18.78548477199911,results/raw_cli/q4_cli_balanced_baseline_19_ngl10_c1024/0015_dislike_dislike_00001.txt,,,,,,
three_00001,data/hagrid_day1/images/three/three_00001.jpg,three,fist,False,False,fist,0,19.61419337099869,results/raw_cli/q4_cli_balanced_baseline_19_ngl10_c1024/0016_three_three_00001.txt,,,,,,
one_00000,data/hagrid_day1/images/one/one_00000.jpg,one,fist,False,False,Fist,0,18.86605460500141,results/raw_cli/q4_cli_balanced_baseline_19_ngl10_c1024/0017_one_one_00000.txt,,,,,,
no_gesture_00000,data/hagrid_day1/images/no_gesture/no_gesture_00000.jpg,no_gesture,fist,False,False,fist,0,31.6406960789991,results/raw_cli/q4_cli_balanced_baseline_19_ngl10_c1024/0018_no_gesture_no_gesture_00000.txt,,,,,,
