id,image_path,original_image_path,input_type,true,pred,correct,invalid,generated_text,full_output,returncode,wall_s,raw_log_path,mtmd_encode_ms,prompt_eval_ms,prompt_eval_tokens,decode_eval_ms,decode_eval_tokens,total_ms,total_tokens
stop_00003,data/hagrid_day1/images/stop/stop_00003.jpg,,full_image,stop,stop,True,False,stop,,0,3.6002555023878813,results/raw_cli/qwen3vl4b_f16_l40s_19/0000_stop_stop_00003.txt,1049.0,,,,,,
fist_00001,data/hagrid_day1/images/fist/fist_00001.jpg,,full_image,fist,fist,True,False,fist,,0,3.501939492300153,results/raw_cli/qwen3vl4b_f16_l40s_19/0001_fist_fist_00001.txt,1059.0,,,,,,
two_up_00001,data/hagrid_day1/images/two_up/two_up_00001.jpg,,full_image,two_up,peace,False,False,peace,,0,3.466959271579981,results/raw_cli/qwen3vl4b_f16_l40s_19/0002_two_up_two_up_00001.txt,1054.0,,,,,,
palm_00000,data/hagrid_day1/images/palm/palm_00000.jpg,,full_image,palm,palm,True,False,palm,,0,3.6305696181952953,results/raw_cli/qwen3vl4b_f16_l40s_19/0003_palm_palm_00000.txt,1097.0,,,,,,
mute_00004,data/hagrid_day1/images/mute/mute_00004.jpg,,full_image,mute,mute,True,False,mute,,0,3.5058021638542414,results/raw_cli/qwen3vl4b_f16_l40s_19/0004_mute_mute_00004.txt,1080.0,,,,,,
palm_00003,data/hagrid_day1/images/palm/palm_00003.jpg,,full_image,palm,stop,False,False,stop,,0,3.4941378086805344,results/raw_cli/qwen3vl4b_f16_l40s_19/0005_palm_palm_00003.txt,1066.0,,,,,,
two_up_00003,data/hagrid_day1/images/two_up/two_up_00003.jpg,,full_image,two_up,peace,False,False,peace,,0,3.265931809321046,results/raw_cli/qwen3vl4b_f16_l40s_19/0006_two_up_two_up_00003.txt,846.0,,,,,,
four_00001,data/hagrid_day1/images/four/four_00001.jpg,,full_image,four,four,True,False,four,,0,3.5142354406416416,results/raw_cli/qwen3vl4b_f16_l40s_19/0007_four_four_00001.txt,1099.0,,,,,,
rock_00001,data/hagrid_day1/images/rock/rock_00001.jpg,,full_image,rock,rock,True,False,rock,,0,3.5031665973365307,results/raw_cli/qwen3vl4b_f16_l40s_19/0008_rock_rock_00001.txt,1089.0,,,,,,
two_up_inverted_00004,data/hagrid_day1/images/two_up_inverted/two_up_inverted_00004.jpg,,full_image,two_up_inverted,two_up,False,False,two_up,,0,3.5062392130494118,results/raw_cli/qwen3vl4b_f16_l40s_19/0009_two_up_inverted_two_up_inverted_00004.txt,1062.0,,,,,,
