true,pred,image_path,generated_text,wall_s
two_up,peace,data/hagrid_day1/images/two_up/two_up_00001.jpg,peace,13.800265153000057
palm,four,data/hagrid_day1/images/palm/palm_00000.jpg,four,13.829853835999984
palm,stop,data/hagrid_day1/images/palm/palm_00003.jpg,stop,13.799492824000026
two_up,peace,data/hagrid_day1/images/two_up/two_up_00003.jpg,peace,11.807035627999994
rock,peace,data/hagrid_day1/images/rock/rock_00001.jpg,peace,13.754790435999894
two_up_inverted,two_up,data/hagrid_day1/images/two_up_inverted/two_up_inverted_00004.jpg,two_up,14.07251025200003
three,peace,data/hagrid_day1/images/three/three_00003.jpg,peace,13.946051010000248
stop_inverted,no_gesture,data/hagrid_day1/images/stop_inverted/stop_inverted_00001.jpg,no_gesture,37.261180657000295
stop_inverted,stop,data/hagrid_day1/images/stop_inverted/stop_inverted_00002.jpg,stop,13.675709315000404
stop_inverted,stop,data/hagrid_day1/images/stop_inverted/stop_inverted_00000.jpg,stop,13.663103992999822
palm,stop,data/hagrid_day1/images/palm/palm_00004.jpg,stop,13.5543810260001
four,ok,data/hagrid_day1/images/four/four_00003.jpg,ok,13.630592930000148
peace_inverted,peace,data/hagrid_day1/images/peace_inverted/peace_inverted_00001.jpg,peace,13.77141974999995
two_up,peace,data/hagrid_day1/images/two_up/two_up_00002.jpg,peace,13.6252137030001
rock,peace,data/hagrid_day1/images/rock/rock_00003.jpg,peace,13.694823647000248
peace_inverted,peace,data/hagrid_day1/images/peace_inverted/peace_inverted_00004.jpg,peace,10.889797659000124
peace_inverted,peace,data/hagrid_day1/images/peace_inverted/peace_inverted_00000.jpg,peace,13.66297922600006
peace_inverted,peace,data/hagrid_day1/images/peace_inverted/peace_inverted_00002.jpg,peace,13.620985752000252
two_up_inverted,one,data/hagrid_day1/images/two_up_inverted/two_up_inverted_00001.jpg,one,13.641433635999874
two_up_inverted,two_up,data/hagrid_day1/images/two_up_inverted/two_up_inverted_00000.jpg,two_up,13.741558261000137
stop_inverted,stop,data/hagrid_day1/images/stop_inverted/stop_inverted_00003.jpg,stop,13.733656139999766
no_gesture,fist,data/hagrid_day1/images/no_gesture/no_gesture_00004.jpg,fist,12.88423154200018
four,three,data/hagrid_day1/images/four/four_00004.jpg,three,13.65232449699988
three2,peace,data/hagrid_day1/images/three2/three2_00001.jpg,peace,13.58334641400006
three2,three,data/hagrid_day1/images/three2/three2_00000.jpg,three,13.65586456300025
three2,peace,data/hagrid_day1/images/three2/three2_00003.jpg,peace,12.308664391000091
stop_inverted,no_gesture,data/hagrid_day1/images/stop_inverted/stop_inverted_00004.jpg,no_gesture,13.987324110999907
palm,stop,data/hagrid_day1/images/palm/palm_00001.jpg,stop,13.70563696699992
four,stop,data/hagrid_day1/images/four/four_00000.jpg,stop,13.621762230000058
three2,peace,data/hagrid_day1/images/three2/three2_00002.jpg,peace,10.898875247999968
palm,stop,data/hagrid_day1/images/palm/palm_00002.jpg,stop,13.689910915999915
peace_inverted,peace,data/hagrid_day1/images/peace_inverted/peace_inverted_00003.jpg,peace,13.652597506999882
two_up_inverted,peace_inverted,data/hagrid_day1/images/two_up_inverted/two_up_inverted_00002.jpg,peace_inverted,13.944294135999826
two_up,peace,data/hagrid_day1/images/two_up/two_up_00000.jpg,peace,10.923406292999973
no_gesture,call,data/hagrid_day1/images/no_gesture/no_gesture_00003.jpg,call,13.688957590999962
three2,peace,data/hagrid_day1/images/three2/three2_00004.jpg,peace,13.687987304000217
