index,image_path,true_label,predicted_label,valid,correct,wall_s,prompt_ms,predicted_ms,prompt_tokens,cached_tokens,predicted_tokens,raw_response,error
1,/home/andrewchen/vlm-edge-project/data/hagrid_day1_resize336/images/no_gesture/no_gesture_00003.jpg,no_gesture,call,1,0,1.434433,1296.396,95.764,375,0,2,call,
2,/home/andrewchen/vlm-edge-project/data/hagrid_day1_resize336/images/no_gesture/no_gesture_00002.jpg,no_gesture,no_gesture,1,1,1.607033,1283.112,284.962,375,0,4,no_gesture,
3,/home/andrewchen/vlm-edge-project/data/hagrid_day1_resize336/images/call/call_00002.jpg,call,call,1,1,1.416562,1282.097,94.655,375,0,2,call,
4,/home/andrewchen/vlm-edge-project/data/hagrid_day1_resize336/images/palm/palm_00002.jpg,palm,stop,1,0,1.419667,1282.887,94.697,375,0,2,stop,
5,/home/andrewchen/vlm-edge-project/data/hagrid_day1_resize336/images/peace_inverted/peace_inverted_00003.jpg,peace_inverted,peace,1,0,1.416968,1280.626,94.744,375,0,2,peace,
6,/home/andrewchen/vlm-edge-project/data/hagrid_day1_resize336/images/dislike/dislike_00001.jpg,dislike,dislike,1,1,1.513910,1283.414,189.474,375,0,3,dislike,
7,/home/andrewchen/vlm-edge-project/data/hagrid_day1_resize336/images/mute/mute_00000.jpg,mute,mute,1,1,1.414435,1278.959,94.781,375,0,2,mute,
8,/home/andrewchen/vlm-edge-project/data/hagrid_day1_resize336/images/one/one_00001.jpg,one,one,1,1,1.422051,1285.981,95.429,375,0,2,one,
9,/home/andrewchen/vlm-edge-project/data/hagrid_day1_resize336/images/four/four_00003.jpg,four,four,1,1,1.416332,1281.966,94.918,375,0,2,four,
10,/home/andrewchen/vlm-edge-project/data/hagrid_day1_resize336/images/dislike/dislike_00003.jpg,dislike,dislike,1,1,1.513483,1282.083,191.198,375,0,3,dislike,
11,/home/andrewchen/vlm-edge-project/data/hagrid_day1_resize336/images/three/three_00002.jpg,three,three,1,1,1.428235,1289.385,95.853,375,0,2,three,
12,/home/andrewchen/vlm-edge-project/data/hagrid_day1_resize336/images/three/three_00000.jpg,three,three,1,1,1.419021,1279.941,97.183,375,0,2,three,
13,/home/andrewchen/vlm-edge-project/data/hagrid_day1_resize336/images/palm/palm_00003.jpg,palm,stop,1,0,1.410408,1277.095,93.809,375,0,2,stop,
14,/home/andrewchen/vlm-edge-project/data/hagrid_day1_resize336/images/like/like_00004.jpg,like,like,1,1,1.407603,1273.958,93.862,375,0,2,like,
15,/home/andrewchen/vlm-edge-project/data/hagrid_day1_resize336/images/call/call_00001.jpg,call,call,1,1,1.413227,1275.801,95.346,375,0,2,call,
16,/home/andrewchen/vlm-edge-project/data/hagrid_day1_resize336/images/two_up/two_up_00002.jpg,two_up,peace,1,0,1.406700,1272.136,94.086,375,0,2,peace,
17,/home/andrewchen/vlm-edge-project/data/hagrid_day1_resize336/images/four/four_00004.jpg,four,three,1,0,1.408752,1273.16,95.558,375,0,2,three,
18,/home/andrewchen/vlm-edge-project/data/hagrid_day1_resize336/images/fist/fist_00004.jpg,fist,fist,1,1,1.477027,1249.618,187.672,364,0,3,fist,
19,/home/andrewchen/vlm-edge-project/data/hagrid_day1_resize336/images/no_gesture/no_gesture_00001.jpg,no_gesture,no_gesture,1,1,1.554384,1235.863,279.081,364,0,4,no_gesture,
20,/home/andrewchen/vlm-edge-project/data/hagrid_day1_resize336/images/one/one_00004.jpg,one,one,1,1,1.417786,1280.293,94.287,375,0,2,one,
21,/home/andrewchen/vlm-edge-project/data/hagrid_day1_resize336/images/dislike/dislike_00000.jpg,dislike,dislike,1,1,1.501965,1271.899,189.034,375,0,3,dislike,
22,/home/andrewchen/vlm-edge-project/data/hagrid_day1_resize336/images/peace/peace_00002.jpg,peace,peace,1,1,1.414906,1277.265,97.68,375,0,2,peace,
23,/home/andrewchen/vlm-edge-project/data/hagrid_day1_resize336/images/three2/three2_00003.jpg,three2,peace,1,0,1.353131,1219.202,96.027,353,0,2,peace,
24,/home/andrewchen/vlm-edge-project/data/hagrid_day1_resize336/images/four/four_00002.jpg,four,four,1,1,1.418035,1281.59,95.603,375,0,2,four,
25,/home/andrewchen/vlm-edge-project/data/hagrid_day1_resize336/images/two_up_inverted/two_up_inverted_00000.jpg,two_up_inverted,peace,1,0,1.413115,1277.951,94.489,375,0,2,peace,
