id,image_path,original_image_path,input_type,true,pred,correct,invalid,generated_text,full_output,returncode,wall_s,raw_log_path,mtmd_encode_ms,prompt_eval_ms,prompt_eval_tokens,decode_eval_ms,decode_eval_tokens,total_ms,total_tokens
stop_00003,data/hagrid_day1_resize336/images/stop/stop_00003.jpg,data/hagrid_day1/images/stop/stop_00003.jpg,full_image,stop,stop,True,False,stop,,0,10.861737357001402,results/raw_cli/qwen3vl4b_q4_resize336_95/0000_stop_stop_00003.txt,3630.0,,,,,,
fist_00001,data/hagrid_day1_resize336/images/fist/fist_00001.jpg,data/hagrid_day1/images/fist/fist_00001.jpg,full_image,fist,fist,True,False,fist,,0,11.034963921998497,results/raw_cli/qwen3vl4b_q4_resize336_95/0001_fist_fist_00001.txt,3625.0,,,,,,
two_up_00001,data/hagrid_day1_resize336/images/two_up/two_up_00001.jpg,data/hagrid_day1/images/two_up/two_up_00001.jpg,full_image,two_up,peace,False,False,peace,,0,10.64158764199965,results/raw_cli/qwen3vl4b_q4_resize336_95/0002_two_up_two_up_00001.txt,3606.0,,,,,,
palm_00000,data/hagrid_day1_resize336/images/palm/palm_00000.jpg,data/hagrid_day1/images/palm/palm_00000.jpg,full_image,palm,stop,False,False,stop,,0,10.577762877999703,results/raw_cli/qwen3vl4b_q4_resize336_95/0003_palm_palm_00000.txt,3638.0,,,,,,
mute_00004,data/hagrid_day1_resize336/images/mute/mute_00004.jpg,data/hagrid_day1/images/mute/mute_00004.jpg,full_image,mute,mute,True,False,mute,,0,10.646440585000164,results/raw_cli/qwen3vl4b_q4_resize336_95/0004_mute_mute_00004.txt,3635.0,,,,,,
palm_00003,data/hagrid_day1_resize336/images/palm/palm_00003.jpg,data/hagrid_day1/images/palm/palm_00003.jpg,full_image,palm,four,False,False,four,,0,10.72346710400052,results/raw_cli/qwen3vl4b_q4_resize336_95/0005_palm_palm_00003.txt,3650.0,,,,,,
two_up_00003,data/hagrid_day1_resize336/images/two_up/two_up_00003.jpg,data/hagrid_day1/images/two_up/two_up_00003.jpg,full_image,two_up,peace,False,False,peace,,0,9.609690129998853,results/raw_cli/qwen3vl4b_q4_resize336_95/0006_two_up_two_up_00003.txt,2570.0,,,,,,
four_00001,data/hagrid_day1_resize336/images/four/four_00001.jpg,data/hagrid_day1/images/four/four_00001.jpg,full_image,four,four,True,False,four,,0,10.858326006000425,results/raw_cli/qwen3vl4b_q4_resize336_95/0007_four_four_00001.txt,3582.0,,,,,,
rock_00001,data/hagrid_day1_resize336/images/rock/rock_00001.jpg,data/hagrid_day1/images/rock/rock_00001.jpg,full_image,rock,peace,False,False,peace,,0,10.96783645100004,results/raw_cli/qwen3vl4b_q4_resize336_95/0008_rock_rock_00001.txt,3636.0,,,,,,
two_up_inverted_00004,data/hagrid_day1_resize336/images/two_up_inverted/two_up_inverted_00004.jpg,data/hagrid_day1/images/two_up_inverted/two_up_inverted_00004.jpg,full_image,two_up_inverted,two_up,False,False,two_up,,0,10.058314899000834,results/raw_cli/qwen3vl4b_q4_resize336_95/0009_two_up_inverted_two_up_inverted_00004.txt,3751.0,,,,,,
peace_00001,data/hagrid_day1_resize336/images/peace/peace_00001.jpg,data/hagrid_day1/images/peace/peace_00001.jpg,full_image,peace,peace,True,False,peace,,0,13.891510146000655,results/raw_cli/qwen3vl4b_q4_resize336_95/0010_peace_peace_00001.txt,3574.0,,,,,,
stop_00004,data/hagrid_day1_resize336/images/stop/stop_00004.jpg,data/hagrid_day1/images/stop/stop_00004.jpg,full_image,stop,stop,True,False,stop,,0,10.677872281999953,results/raw_cli/qwen3vl4b_q4_resize336_95/0011_stop_stop_00004.txt,3619.0,,,,,,
peace_00000,data/hagrid_day1_resize336/images/peace/peace_00000.jpg,data/hagrid_day1/images/peace/peace_00000.jpg,full_image,peace,peace,True,False,peace,,0,9.955215154001053,results/raw_cli/qwen3vl4b_q4_resize336_95/0012_peace_peace_00000.txt,3825.0,,,,,,
like_00003,data/hagrid_day1_resize336/images/like/like_00003.jpg,data/hagrid_day1/images/like/like_00003.jpg,full_image,like,like,True,False,like,,0,10.325819693000085,results/raw_cli/qwen3vl4b_q4_resize336_95/0013_like_like_00003.txt,3581.0,,,,,,
three_00003,data/hagrid_day1_resize336/images/three/three_00003.jpg,data/hagrid_day1/images/three/three_00003.jpg,full_image,three,peace,False,False,peace,,0,10.430595808000362,results/raw_cli/qwen3vl4b_q4_resize336_95/0014_three_three_00003.txt,3629.0,,,,,,
stop_inverted_00001,data/hagrid_day1_resize336/images/stop_inverted/stop_inverted_00001.jpg,data/hagrid_day1/images/stop_inverted/stop_inverted_00001.jpg,full_image,stop_inverted,peace,False,False,peace,,0,10.274730921999435,results/raw_cli/qwen3vl4b_q4_resize336_95/0015_stop_inverted_stop_inverted_00001.txt,3740.0,,,,,,
two_up_00004,data/hagrid_day1_resize336/images/two_up/two_up_00004.jpg,data/hagrid_day1/images/two_up/two_up_00004.jpg,full_image,two_up,peace,False,False,peace,,0,10.06055017899962,results/raw_cli/qwen3vl4b_q4_resize336_95/0016_two_up_two_up_00004.txt,3714.0,,,,,,
stop_inverted_00002,data/hagrid_day1_resize336/images/stop_inverted/stop_inverted_00002.jpg,data/hagrid_day1/images/stop_inverted/stop_inverted_00002.jpg,full_image,stop_inverted,stop,False,False,stop,,0,9.566392110999004,results/raw_cli/qwen3vl4b_q4_resize336_95/0017_stop_inverted_stop_inverted_00002.txt,3749.0,,,,,,
dislike_00002,data/hagrid_day1_resize336/images/dislike/dislike_00002.jpg,data/hagrid_day1/images/dislike/dislike_00002.jpg,full_image,dislike,dislike,True,False,dislike,,0,9.75931662199946,results/raw_cli/qwen3vl4b_q4_resize336_95/0018_dislike_dislike_00002.txt,3563.0,,,,,,
two_up_inverted_00003,data/hagrid_day1_resize336/images/two_up_inverted/two_up_inverted_00003.jpg,data/hagrid_day1/images/two_up_inverted/two_up_inverted_00003.jpg,full_image,two_up_inverted,peace,False,False,peace,,0,10.327627665999898,results/raw_cli/qwen3vl4b_q4_resize336_95/0019_two_up_inverted_two_up_inverted_00003.txt,3833.0,,,,,,
like_00002,data/hagrid_day1_resize336/images/like/like_00002.jpg,data/hagrid_day1/images/like/like_00002.jpg,full_image,like,like,True,False,like,,0,9.045600526998896,results/raw_cli/qwen3vl4b_q4_resize336_95/0020_like_like_00002.txt,3584.0,,,,,,
stop_inverted_00000,data/hagrid_day1_resize336/images/stop_inverted/stop_inverted_00000.jpg,data/hagrid_day1/images/stop_inverted/stop_inverted_00000.jpg,full_image,stop_inverted,stop,False,False,stop,,0,8.565183191001779,results/raw_cli/qwen3vl4b_q4_resize336_95/0021_stop_inverted_stop_inverted_00000.txt,3610.0,,,,,,
palm_00004,data/hagrid_day1_resize336/images/palm/palm_00004.jpg,data/hagrid_day1/images/palm/palm_00004.jpg,full_image,palm,stop,False,False,stop,,0,8.64572168900122,results/raw_cli/qwen3vl4b_q4_resize336_95/0022_palm_palm_00004.txt,3559.0,,,,,,
like_00000,data/hagrid_day1_resize336/images/like/like_00000.jpg,data/hagrid_day1/images/like/like_00000.jpg,full_image,like,like,True,False,like,,0,8.619531903999814,results/raw_cli/qwen3vl4b_q4_resize336_95/0023_like_like_00000.txt,3577.0,,,,,,
fist_00002,data/hagrid_day1_resize336/images/fist/fist_00002.jpg,data/hagrid_day1/images/fist/fist_00002.jpg,full_image,fist,fist,True,False,fist,,0,8.73390014799952,results/raw_cli/qwen3vl4b_q4_resize336_95/0024_fist_fist_00002.txt,3571.0,,,,,,
peace_00004,data/hagrid_day1_resize336/images/peace/peace_00004.jpg,data/hagrid_day1/images/peace/peace_00004.jpg,full_image,peace,peace,True,False,peace,,0,8.62431116800144,results/raw_cli/qwen3vl4b_q4_resize336_95/0025_peace_peace_00004.txt,3556.0,,,,,,
four_00003,data/hagrid_day1_resize336/images/four/four_00003.jpg,data/hagrid_day1/images/four/four_00003.jpg,full_image,four,four,True,False,four,,0,8.594710064999163,results/raw_cli/qwen3vl4b_q4_resize336_95/0026_four_four_00003.txt,3539.0,,,,,,
one_00003,data/hagrid_day1_resize336/images/one/one_00003.jpg,data/hagrid_day1/images/one/one_00003.jpg,full_image,one,one,True,False,one,,0,8.560352128999511,results/raw_cli/qwen3vl4b_q4_resize336_95/0027_one_one_00003.txt,3559.0,,,,,,
peace_inverted_00001,data/hagrid_day1_resize336/images/peace_inverted/peace_inverted_00001.jpg,data/hagrid_day1/images/peace_inverted/peace_inverted_00001.jpg,full_image,peace_inverted,peace,False,False,peace,,0,8.562072557000647,results/raw_cli/qwen3vl4b_q4_resize336_95/0028_peace_inverted_peace_inverted_00001.txt,3537.0,,,,,,
call_00002,data/hagrid_day1_resize336/images/call/call_00002.jpg,data/hagrid_day1/images/call/call_00002.jpg,full_image,call,call,True,False,call,,0,8.590845961000014,results/raw_cli/qwen3vl4b_q4_resize336_95/0029_call_call_00002.txt,3596.0,,,,,,
two_up_00002,data/hagrid_day1_resize336/images/two_up/two_up_00002.jpg,data/hagrid_day1/images/two_up/two_up_00002.jpg,full_image,two_up,peace,False,False,peace,,0,8.633852060000208,results/raw_cli/qwen3vl4b_q4_resize336_95/0030_two_up_two_up_00002.txt,3562.0,,,,,,
rock_00003,data/hagrid_day1_resize336/images/rock/rock_00003.jpg,data/hagrid_day1/images/rock/rock_00003.jpg,full_image,rock,peace,False,False,peace,,0,8.652846983000927,results/raw_cli/qwen3vl4b_q4_resize336_95/0031_rock_rock_00003.txt,3571.0,,,,,,
ok_00001,data/hagrid_day1_resize336/images/ok/ok_00001.jpg,data/hagrid_day1/images/ok/ok_00001.jpg,full_image,ok,ok,True,False,ok,,0,8.601717063998876,results/raw_cli/qwen3vl4b_q4_resize336_95/0032_ok_ok_00001.txt,3553.0,,,,,,
peace_inverted_00004,data/hagrid_day1_resize336/images/peace_inverted/peace_inverted_00004.jpg,data/hagrid_day1/images/peace_inverted/peace_inverted_00004.jpg,full_image,peace_inverted,peace,False,False,peace,,0,7.566742906999934,results/raw_cli/qwen3vl4b_q4_resize336_95/0033_peace_inverted_peace_inverted_00004.txt,2531.0,,,,,,
no_gesture_00000,data/hagrid_day1_resize336/images/no_gesture/no_gesture_00000.jpg,data/hagrid_day1/images/no_gesture/no_gesture_00000.jpg,full_image,no_gesture,call,False,False,call,,0,8.624042384999484,results/raw_cli/qwen3vl4b_q4_resize336_95/0034_no_gesture_no_gesture_00000.txt,3575.0,,,,,,
like_00001,data/hagrid_day1_resize336/images/like/like_00001.jpg,data/hagrid_day1/images/like/like_00001.jpg,full_image,like,like,True,False,like,,0,8.666759351999644,results/raw_cli/qwen3vl4b_q4_resize336_95/0035_like_like_00001.txt,3627.0,,,,,,
ok_00002,data/hagrid_day1_resize336/images/ok/ok_00002.jpg,data/hagrid_day1/images/ok/ok_00002.jpg,full_image,ok,ok,True,False,ok,,0,8.674312469000142,results/raw_cli/qwen3vl4b_q4_resize336_95/0036_ok_ok_00002.txt,3590.0,,,,,,
