id,image_path,original_image_path,input_type,true,pred,correct,invalid,generated_text,full_output,returncode,wall_s,raw_log_path,mtmd_encode_ms,prompt_eval_ms,prompt_eval_tokens,decode_eval_ms,decode_eval_tokens,total_ms,total_tokens
stop_00003,data/hagrid_day1/images/stop/stop_00003.jpg,,full_image,stop,stop,True,False,stop,,0,22.625753540000005,results/raw_cli/qwen3vl4b_self_q8_0_mmprojq8_95/0000_stop_stop_00003.txt,8957.0,,,,,,
fist_00001,data/hagrid_day1/images/fist/fist_00001.jpg,,full_image,fist,fist,True,False,fist,,0,20.215308836000077,results/raw_cli/qwen3vl4b_self_q8_0_mmprojq8_95/0001_fist_fist_00001.txt,9020.0,,,,,,
two_up_00001,data/hagrid_day1/images/two_up/two_up_00001.jpg,,full_image,two_up,peace,False,False,peace,,0,19.68586207899989,results/raw_cli/qwen3vl4b_self_q8_0_mmprojq8_95/0002_two_up_two_up_00001.txt,8928.0,,,,,,
palm_00000,data/hagrid_day1/images/palm/palm_00000.jpg,,full_image,palm,palm,True,False,palm,,0,19.254742276999878,results/raw_cli/qwen3vl4b_self_q8_0_mmprojq8_95/0003_palm_palm_00000.txt,8835.0,,,,,,
mute_00004,data/hagrid_day1/images/mute/mute_00004.jpg,,full_image,mute,mute,True,False,mute,,0,18.638550571999986,results/raw_cli/qwen3vl4b_self_q8_0_mmprojq8_95/0004_mute_mute_00004.txt,8692.0,,,,,,
palm_00003,data/hagrid_day1/images/palm/palm_00003.jpg,,full_image,palm,stop,False,False,stop,,0,19.798161917000016,results/raw_cli/qwen3vl4b_self_q8_0_mmprojq8_95/0005_palm_palm_00003.txt,8770.0,,,,,,
two_up_00003,data/hagrid_day1/images/two_up/two_up_00003.jpg,,full_image,two_up,peace,False,False,peace,,0,17.145677979000084,results/raw_cli/qwen3vl4b_self_q8_0_mmprojq8_95/0006_two_up_two_up_00003.txt,6812.0,,,,,,
four_00001,data/hagrid_day1/images/four/four_00001.jpg,,full_image,four,four,True,False,four,,0,21.59585990100004,results/raw_cli/qwen3vl4b_self_q8_0_mmprojq8_95/0007_four_four_00001.txt,8711.0,,,,,,
rock_00001,data/hagrid_day1/images/rock/rock_00001.jpg,,full_image,rock,rock,True,False,rock,,0,18.657951124000192,results/raw_cli/qwen3vl4b_self_q8_0_mmprojq8_95/0008_rock_rock_00001.txt,8757.0,,,,,,
two_up_inverted_00004,data/hagrid_day1/images/two_up_inverted/two_up_inverted_00004.jpg,,full_image,two_up_inverted,two_up,False,False,two_up,,0,39.0508179870003,results/raw_cli/qwen3vl4b_self_q8_0_mmprojq8_95/0009_two_up_inverted_two_up_inverted_00004.txt,8782.0,,,,,,
peace_00001,data/hagrid_day1/images/peace/peace_00001.jpg,,full_image,peace,peace,True,False,peace,,0,18.924404217999836,results/raw_cli/qwen3vl4b_self_q8_0_mmprojq8_95/0010_peace_peace_00001.txt,8697.0,,,,,,
stop_00004,data/hagrid_day1/images/stop/stop_00004.jpg,,full_image,stop,stop,True,False,stop,,0,19.030834474999665,results/raw_cli/qwen3vl4b_self_q8_0_mmprojq8_95/0011_stop_stop_00004.txt,8752.0,,,,,,
peace_00000,data/hagrid_day1/images/peace/peace_00000.jpg,,full_image,peace,peace,True,False,peace,,0,19.25791660999994,results/raw_cli/qwen3vl4b_self_q8_0_mmprojq8_95/0012_peace_peace_00000.txt,8833.0,,,,,,
like_00003,data/hagrid_day1/images/like/like_00003.jpg,,full_image,like,like,True,False,like,,0,20.266732649000005,results/raw_cli/qwen3vl4b_self_q8_0_mmprojq8_95/0013_like_like_00003.txt,8685.0,,,,,,
three_00003,data/hagrid_day1/images/three/three_00003.jpg,,full_image,three,three,True,False,three,,0,18.647919007999917,results/raw_cli/qwen3vl4b_self_q8_0_mmprojq8_95/0014_three_three_00003.txt,8739.0,,,,,,
stop_inverted_00001,data/hagrid_day1/images/stop_inverted/stop_inverted_00001.jpg,,full_image,stop_inverted,four,False,False,four,,0,19.276339017000282,results/raw_cli/qwen3vl4b_self_q8_0_mmprojq8_95/0015_stop_inverted_stop_inverted_00001.txt,8717.0,,,,,,
two_up_00004,data/hagrid_day1/images/two_up/two_up_00004.jpg,,full_image,two_up,two_up,True,False,two_up,,0,19.287524268999732,results/raw_cli/qwen3vl4b_self_q8_0_mmprojq8_95/0016_two_up_two_up_00004.txt,8777.0,,,,,,
stop_inverted_00002,data/hagrid_day1/images/stop_inverted/stop_inverted_00002.jpg,,full_image,stop_inverted,stop,False,False,stop,,0,19.003069672000038,results/raw_cli/qwen3vl4b_self_q8_0_mmprojq8_95/0017_stop_inverted_stop_inverted_00002.txt,8717.0,,,,,,
dislike_00002,data/hagrid_day1/images/dislike/dislike_00002.jpg,,full_image,dislike,dislike,True,False,dislike,,0,19.05801267400011,results/raw_cli/qwen3vl4b_self_q8_0_mmprojq8_95/0018_dislike_dislike_00002.txt,8719.0,,,,,,
two_up_inverted_00003,data/hagrid_day1/images/two_up_inverted/two_up_inverted_00003.jpg,,full_image,two_up_inverted,two_up,False,False,two_up,,0,18.952649507999922,results/raw_cli/qwen3vl4b_self_q8_0_mmprojq8_95/0019_two_up_inverted_two_up_inverted_00003.txt,8713.0,,,,,,
like_00002,data/hagrid_day1/images/like/like_00002.jpg,,full_image,like,like,True,False,like,,0,19.178000726999926,results/raw_cli/qwen3vl4b_self_q8_0_mmprojq8_95/0020_like_like_00002.txt,8752.0,,,,,,
stop_inverted_00000,data/hagrid_day1/images/stop_inverted/stop_inverted_00000.jpg,,full_image,stop_inverted,stop,False,False,stop,,0,19.270900340000026,results/raw_cli/qwen3vl4b_self_q8_0_mmprojq8_95/0021_stop_inverted_stop_inverted_00000.txt,8735.0,,,,,,
palm_00004,data/hagrid_day1/images/palm/palm_00004.jpg,,full_image,palm,palm,True,False,palm,,0,19.58573638200005,results/raw_cli/qwen3vl4b_self_q8_0_mmprojq8_95/0022_palm_palm_00004.txt,8713.0,,,,,,
like_00000,data/hagrid_day1/images/like/like_00000.jpg,,full_image,like,like,True,False,like,,0,19.486574194999776,results/raw_cli/qwen3vl4b_self_q8_0_mmprojq8_95/0023_like_like_00000.txt,8718.0,,,,,,
fist_00002,data/hagrid_day1/images/fist/fist_00002.jpg,,full_image,fist,fist,True,False,fist,,0,24.32376165800042,results/raw_cli/qwen3vl4b_self_q8_0_mmprojq8_95/0024_fist_fist_00002.txt,8713.0,,,,,,
peace_00004,data/hagrid_day1/images/peace/peace_00004.jpg,,full_image,peace,peace,True,False,peace,,0,21.83901737699989,results/raw_cli/qwen3vl4b_self_q8_0_mmprojq8_95/0025_peace_peace_00004.txt,8771.0,,,,,,
